Job_ID,Title,genre,Arbetsgivare,Yrke,Beskrivning,Ort
24439141,Vill du göra skillnad och hjälpa 1000-tals företag på Internet?,Kundtjänstmedarbetare Västernorrland Jämtland,Webbkonsulterna i Jämtland AB,Kundtjänstmedarbetare,Vill du göra skillnad och hjälpa 1000-tals företag på Internet?,Webbkonsulterna i Jämtland AB
24449840,Kundservicemedarbetare till Östersund!,Kundtjänstmedarbetare Västernorrland Jämtland,Studentconsulting Sweden AB (Publ),Kundtjänstmedarbetare,Kundservicemedarbetare till Östersund!,StudentConsulting
24449136,Säljande kundtjänstmedarbetare till Bonnier!,Kundtjänstmedarbetare Västernorrland Jämtland,Webhelp Sweden AB,Kundtjänstmedarbetare,Säljande kundtjänstmedarbetare till Bonnier!,Webhelp Sweden
24445154,Vi söker nya kollegor till Com Hem/Boxers säljande kundtjänst,Kundtjänstmedarbetare Västernorrland Jämtland,Webhelp Sweden AB,Kundtjänstmedarbetare,Vi söker nya kollegor till Com Hem/Boxers säljande kundtjänst,Webhelp Sweden
24441845,Dansktalande Teknisk Support/Kundservice,Kundtjänstmedarbetare Västernorrland Jämtland,H1 Communication AB,Kundtjänstmedarbetare,Dansktalande Teknisk Support/Kundservice,H1 Communication AB
24438415,Vill du utvecklas inom service och försäljning? Sök jobb inom kundtjänst!,Kundtjänstmedarbetare Västernorrland Jämtland,Studentconsulting Sweden AB (Publ),Kundtjänstmedarbetare,Vill du utvecklas inom service och försäljning? Sök jobb inom kundtjänst!,StudentConsulting
24434969,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Kundtjänstmedarbetare Västernorrland Jämtland,Webhelp Sweden AB,Kundtjänstmedarbetare,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Webhelp Sweden AB
24434943,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Kundtjänstmedarbetare Västernorrland Jämtland,Webhelp Sweden AB,Kundtjänstmedarbetare,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Webhelp Sweden AB
24434888,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Kundtjänstmedarbetare Västernorrland Jämtland,Webhelp Sweden AB,Kundtjänstmedarbetare,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Webhelp Sweden AB
24433558,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Kundtjänstmedarbetare Västernorrland Jämtland,Webhelp Sweden AB,Kundtjänstmedarbetare,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Webhelp Sweden AB
24433549,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Kundtjänstmedarbetare Västernorrland Jämtland,Webhelp Sweden AB,Kundtjänstmedarbetare,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Webhelp Sweden AB
24411671,Flerspråkig Kuntjänstmedarbetare till Woolpower,Kundtjänstmedarbetare Västernorrland Jämtland,Min Byrå i Jämtland AB,Kundtjänstmedarbetare,Flerspråkig Kuntjänstmedarbetare till Woolpower,Min Byrå
24453360,Kundtjänstmedarbetare till Sundsvalls kommuns Servicecenter ,Kundtjänstmedarbetare Västernorrland Jämtland,Sundsvalls kommun,Kundtjänstmedarbetare,Kundtjänstmedarbetare till Sundsvalls kommuns Servicecenter ,Sundsvalls kommun
24450237,Administratör / Support / 2nd line support,Kundtjänstmedarbetare Västernorrland Jämtland,Bravura Sverige AB,Kundtjänstmedarbetare,Administratör / Support / 2nd line support,Bravura
24450125,Kundtjänstmedarbetare / Kundservice / Customer Support,Kundtjänstmedarbetare Västernorrland Jämtland,Bravura Sverige AB,Kundtjänstmedarbetare,Kundtjänstmedarbetare / Kundservice / Customer Support,Bravura
24446188,Kommunikatör till Savedesk på Tele2,Kundtjänstmedarbetare Västernorrland Jämtland,Studentconsulting Sweden AB (Publ),Kundtjänstmedarbetare,Kommunikatör till Savedesk på Tele2,StudentConsulting
24441954,Kundtjänstmedarbetare på Kreta,Kundtjänstmedarbetare Västernorrland Jämtland,Otiga Stockholm AB,Kundtjänstmedarbetare,Kundtjänstmedarbetare på Kreta,Otiga Stockholm AB
24440748,Kommunikatör till Savedesk på Tele2,Kundtjänstmedarbetare Västernorrland Jämtland,Studentconsulting Sweden AB (Publ),Kundtjänstmedarbetare,Kommunikatör till Savedesk på Tele2,StudentConsulting
24426612,Kundtjänst till härliga Kreta,Kundtjänstmedarbetare Västernorrland Jämtland,Tng Group AB,Kundtjänstmedarbetare,Kundtjänst till härliga Kreta,TNG Group AB
24416187,Personlig Tränare och Site Responsible Sundsvall på Fitness24seven,Kundtjänstmedarbetare Västernorrland Jämtland,Happyr AB,Kundtjänstmedarbetare,Personlig Tränare och Site Responsible Sundsvall på Fitness24seven,Fitness24seven
24414395,Serviceinriktad kundkoordinator till Tibnor!,Kundtjänstmedarbetare Västernorrland Jämtland,Academic Work Sweden AB,Kundtjänstmedarbetare,Serviceinriktad kundkoordinator till Tibnor!,Academic Work
24408652,Kundtjänstmedarbetare,Kundtjänstmedarbetare Västernorrland Jämtland,Energihem i Sverige AB,Kundtjänstmedarbetare,Kundtjänstmedarbetare,Energihem i Sverige AB
24435258,Utvecklare/”Junior Developer”,Utvecklare Västernorrland Jämtland,OnePartnerGroup Jämtland AB,Systemutvecklare/Programmerare,Utvecklare/”Junior Developer”,Iron Mountain/Recall Sweden AB (Östersund)
24437233,Senior Software Engineer with focus on Optimization and AI,Utvecklare Västernorrland Jämtland,Loxysoft WFM AB,Systemutvecklare/Programmerare,Senior Software Engineer with focus on Optimization and AI,Lifesize Östersund
24429304,Erfaren .NET-utvecklare som motiveras av lagarbete,Utvecklare Västernorrland Jämtland,Sopra Steria Sweden AB,Systemutvecklare/Programmerare,Erfaren .NET-utvecklare som motiveras av lagarbete,Sopra Steria
24415848,Erfaren javautvecklare till vårt Östersundskontor,Utvecklare Västernorrland Jämtland,Sopra Steria Sweden AB,Systemutvecklare/Programmerare,Erfaren javautvecklare till vårt Östersundskontor,Sopra Steria
24406134,Gör ditt Ex-jobb på Cybercom i Östersund!,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,Systemutvecklare/Programmerare,Gör ditt Ex-jobb på Cybercom i Östersund!,Cybercom Sweden & Denmark
24406064,Programmerande konsultchef - Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,Systemutvecklare/Programmerare,Programmerande konsultchef - Cybercom Östersund,Cybercom Sweden & Denmark
24347866,Kund och verksamhetsintresserad systemutvecklare till Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,Systemutvecklare/Programmerare,Kund och verksamhetsintresserad systemutvecklare till Cybercom Östersund,Cybercom Sweden & Denmark
24347857,C/C++ utvecklare till Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,Systemutvecklare/Programmerare,C/C++ utvecklare till Cybercom Östersund,Cybercom Sweden & Denmark
24347836,Developer JAVA till Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,Systemutvecklare/Programmerare,Developer JAVA till Cybercom Östersund,Cybercom Sweden & Denmark
24342958,Systemutvecklare till våra agila team,Utvecklare Västernorrland Jämtland,Skatteverket,Systemutvecklare/Programmerare,Systemutvecklare till våra agila team,"Skatteverket, IT/STÖD, It-avdelningen"
24450277,Rekrytering av juniora Systemutvecklare till Biometria Traineeprogram,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,Systemutvecklare/Programmerare,Rekrytering av juniora Systemutvecklare till Biometria Traineeprogram,Professionals Nord Rekrytering AB
24448919,"Systemutvecklare till uppdrag i Gävle, Sundsvall och Östersund ",Utvecklare Västernorrland Jämtland,Experis AB,Mjukvaruutvecklare,"Systemutvecklare till uppdrag i Gävle, Sundsvall och Östersund ",Experis IT
24448436,Senior utvecklare,Utvecklare Västernorrland Jämtland,Myndigheten För Digital Förvaltning,Mjukvaruutvecklare,Senior utvecklare,Myndigheten för digital förvaltning
24441981,Systemutvecklare inbyggda system,Utvecklare Västernorrland Jämtland,Bae Systems Hägglunds AB,Systemutvecklare/Programmerare,Systemutvecklare inbyggda system,Bae Systems Hägglunds AB
24441510,System developer to inhouse team in Örnsköldsvik,Utvecklare Västernorrland Jämtland,Knightec AB,Systemutvecklare/Programmerare,System developer to inhouse team in Örnsköldsvik,Knightec
24430402,Spelutvecklare till Frontwalker ,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,"Programmerare, PC-spel",Spelutvecklare till Frontwalker ,Professionals Nord Rekrytering AB
24430407,Javautvecklare till Frontwalker Sundsvall,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,Mjukvaruutvecklare,Javautvecklare till Frontwalker Sundsvall,Professionals Nord Rekrytering AB
24438943,Systemutvecklare / Utvecklare / Java / .NET till Frontwalker,Utvecklare Västernorrland Jämtland,Bravura Sverige AB,Systemutvecklare/Programmerare,Systemutvecklare / Utvecklare / Java / .NET till Frontwalker,Bravura
24436042,Dags att ta nästa steg inom javautveckling?,Utvecklare Västernorrland Jämtland,Alten Sverige AB,Systemutvecklare/Programmerare,Dags att ta nästa steg inom javautveckling?,Alten Sverige AB
24430468,Utvecklare till Softronic ,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,Mjukvaruutvecklare,Utvecklare till Softronic ,Professionals Nord Rekrytering AB
24423947,Spelutvecklare / Systemutvecklare till Frontwalker i Sundsvall,Utvecklare Västernorrland Jämtland,Bravura Sverige AB,"Programmerare, PC-spel",Spelutvecklare / Systemutvecklare till Frontwalker i Sundsvall,Bravura
24420394,Systemutvecklare till Telias DevOps-team,Utvecklare Västernorrland Jämtland,Academic Work Sweden AB,Systemutvecklare/Programmerare,Systemutvecklare till Telias DevOps-team,Academic Work
24416931,Specialist på publika molntjänster,Utvecklare Västernorrland Jämtland,GDM Konsult AB,IT-arkitekt/Lösningsarkitekt,Specialist på publika molntjänster,GDM Konsult
24403040,iOS-utvecklare till Evado i Sundsvall,Utvecklare Västernorrland Jämtland,Ghost Competence AB,Systemutvecklare/Programmerare,iOS-utvecklare till Evado i Sundsvall,Ghost Competence AB
24370093,Agil teammedlem med inriktning mot systemutveckling,Utvecklare Västernorrland Jämtland,Bolagsverket,"Civilingenjör, systemutveckling",Agil teammedlem med inriktning mot systemutveckling,"Bolagsverket, IT-avdelningen "
24306741,Systemutvecklare till Sundsvall,Utvecklare Västernorrland Jämtland,Försäkringskassan,Systemutvecklare/Programmerare,Systemutvecklare till Sundsvall,Försäkringskassan
24452455,Köksbiträde till Sushi House Sundsvall,Köksbiträde Västernorrland Jämtland,Sushi House i Sundsvall AB,Köksbiträde,Köksbiträde till Sushi House Sundsvall,Sushi House i Sundsvall AB
24165099,Personal till Timrå Pizzeria,Köksbiträde Västernorrland Jämtland,"Al-Sanuri, Hassan",Köksbiträde,Personal till Timrå Pizzeria,Al-Sanuri Hassan
24452460,Glad o sprallig kille på 3 år söker personal,Personlig assistent Västernorrland Jämtland,Blomstra i Sverige AB,Personlig assistent,Glad o sprallig kille på 3 år söker personal,Blomstra I Sverige AB
24438881,Vikarier sökes! Vi söker personlig assistent till 7-årig tjej. 2064,Personlig assistent Västernorrland Jämtland,Storsjöbygdens Personliga Assistans AB,Personlig assistent,Vikarier sökes! Vi söker personlig assistent till 7-årig tjej. 2064,STORSJÖBYGDENS PERSONLIGA ASSISTANS AB
24438871,Vi söker en personlig assistent till 7-årig tjej. 2064,Personlig assistent Västernorrland Jämtland,Storsjöbygdens Personliga Assistans AB,Personlig assistent,Vi söker en personlig assistent till 7-årig tjej. 2064,STORSJÖBYGDENS PERSONLIGA ASSISTANS AB
24432331,"Personlig assistent, Häggenås",Personlig assistent Västernorrland Jämtland,A-Assistans Leimir AB,Personlig assistent,"Personlig assistent, Häggenås",A-Assistans
24432218,"Timvikarie, personlig assistent, i centrala Östersund sökes",Personlig assistent Västernorrland Jämtland,A-Assistans Leimir AB,Personlig assistent,"Timvikarie, personlig assistent, i centrala Östersund sökes",A-Assistans
24428178,Personliga assistenter till man i Ottsjö!,Personlig assistent Västernorrland Jämtland,Humana AB,Personlig assistent,Personliga assistenter till man i Ottsjö!,Humana AB
24424194,Personlig assistent för extrajobb sökes till kvinna utanför Östersund!,Personlig assistent Västernorrland Jämtland,Humana AB,Personlig assistent,Personlig assistent för extrajobb sökes till kvinna utanför Östersund!,Humana AB
24419316,Personlig assistent sökes till man i Östersund! ,Personlig assistent Västernorrland Jämtland,Humana AB,Personlig assistent,Personlig assistent sökes till man i Östersund! ,Humana AB
24419082,Personlig assistent sökes till kille i Östersund!,Personlig assistent Västernorrland Jämtland,Humana AB,Personlig assistent,Personlig assistent sökes till kille i Östersund!,Humana AB
24417170,Personlig assisten till kvinna i Östersund - timanställning,Personlig assistent Västernorrland Jämtland,L&S Assistans AB,Personlig assistent,Personlig assisten till kvinna i Östersund - timanställning,L&S Assistans AB
24338222,16-årig kille söker personlig assistent (man) 2037,Personlig assistent Västernorrland Jämtland,Storsjöbygdens Personliga Assistans AB,Personlig assistent,16-årig kille söker personlig assistent (man) 2037,STORSJÖBYGDENS PERSONLIGA ASSISTANS AB
24434883,Personlig assistent i Sollefteå,Personlig assistent Västernorrland Jämtland,Inre Kraft i Norr AB,Personlig assistent,Personlig assistent i Sollefteå,Rehabassistans AB
24434854,Personlig assistent i Örnsköldsvik,Personlig assistent Västernorrland Jämtland,Inre Kraft i Norr AB,Personlig assistent,Personlig assistent i Örnsköldsvik,Rehabassistans AB
24451955,Proffsiga assistenter sökes,Personlig assistent Västernorrland Jämtland,Stil Assistans AB,Personlig assistent,Proffsiga assistenter sökes,STIL
24446709,Personlig assistent deltid till kille i tonåren,Personlig assistent Västernorrland Jämtland,Kura Omsorg i Sverige AB,Personlig assistent,Personlig assistent deltid till kille i tonåren,Kura Omsorg
24435769,Personlig Assistent till en kille i Junsele.,Personlig assistent Västernorrland Jämtland,Helsa Omsorg & Bemanning i Norden AB,Personlig assistent,Personlig Assistent till en kille i Junsele.,Helsa Omsorg & Bemanning i Norden AB
24428223,PERSONLIGA ASSISTENTER TILL UNG MAN MED AUTISM,Personlig assistent Västernorrland Jämtland,Jengla Omsorg AB,Personlig assistent,PERSONLIGA ASSISTENTER TILL UNG MAN MED AUTISM,Jengla Omsorg AB
24426993,Kvinnliga personliga assistenter åt en ung man i Sollefteå,Personlig assistent Västernorrland Jämtland,Livsam Personlig Assistans AB,Personlig assistent,Kvinnliga personliga assistenter åt en ung man i Sollefteå,Livsam Personlig Assistans AB
24424028,"Personlig Assistent, (Bjästa)",Personlig assistent Västernorrland Jämtland,Enkv Assistans AB,Personlig assistent,"Personlig Assistent, (Bjästa)",ENKV
24420475,Personliga assistenter sökes som behovsvikarier i Sundsvall och Timrå,Personlig assistent Västernorrland Jämtland,Frösunda Omsorg AB,Personlig assistent,Personliga assistenter sökes som behovsvikarier i Sundsvall och Timrå,Frösunda Personlig assistans
24416453,Personliga assistenter (timvikarier) sökes till kund i Sollefteå,Personlig assistent Västernorrland Jämtland,Frösunda Omsorg AB,Personlig assistent,Personliga assistenter (timvikarier) sökes till kund i Sollefteå,Frösunda Personlig assistans
24414764,Möjliggörande assistent till kvinna med Retts syndrom sökes på fast sche...,Personlig assistent Västernorrland Jämtland,Lystra Personlig Assistans AB,Personlig assistent,Möjliggörande assistent till kvinna med Retts syndrom sökes på fast sche...,Lystra personlig assistans
24413989,Vi söker fantastiska assistenter som vill utvecklas med oss!,Personlig assistent Västernorrland Jämtland,Särnmark Assistans AB,Personlig assistent,Vi söker fantastiska assistenter som vill utvecklas med oss!,Särnmark Assistans AB
24406761,Du som vill göra skillnad ! Jobb som personlig assistent.,Personlig assistent Västernorrland Jämtland,Helsa Omsorg & Bemanning i Norden AB,Personlig assistent,Du som vill göra skillnad ! Jobb som personlig assistent.,Helsa Omsorg & Bemanning i Norden AB
24402406,Personlig assistent till en omtänksam tjej bosatt i Bredbyn,Personlig assistent Västernorrland Jämtland,Kura Omsorg i Sverige AB,Personlig assistent,Personlig assistent till en omtänksam tjej bosatt i Bredbyn,Kura Omsorg
24377465,Personlig assistenter till en fartfylld man,Personlig assistent Västernorrland Jämtland,Helsa Omsorg & Bemanning i Norden AB,Personlig assistent,Personlig assistenter till en fartfylld man,Helsa Omsorg & Bemanning i Norden AB
24411491,Vi söker administrativ assistent till NÄVA - Närvårdsavdelning i Strömsund,Personlig assistent Västernorrland Jämtland,REGION JÄMTLAND HÄRJEDALEN,Administrativ assistent,Vi söker administrativ assistent till NÄVA - Närvårdsavdelning i Strömsund,"Region Jämtland Härjedalen, NÄVA (Närvårdsavdelning)"
24398020,Timvikarie dagtid som personlig assistent (Re54),Personlig assistent Västernorrland Jämtland,Kooperativet Hand i Hand Ekonomisk Fören,Personlig assistent,Timvikarie dagtid som personlig assistent (Re54),Kooperativet Hand i Hand ekonomisk förening
24452281,Personlig assistent på 75% till 4-årig flicka i Haninge (Re 76),Personlig assistent Västernorrland Jämtland,Kooperativet Hand i Hand Ekonomisk Fören,Personlig assistent,Personlig assistent på 75% till 4-årig flicka i Haninge (Re 76),Kooperativet Hand i Hand ekonomisk förening
24445798,"Personlig assistent på 50% till 4,5 årig flicka i Järna, Södertälje ",Personlig assistent Västernorrland Jämtland,Kooperativet Hand i Hand Ekonomisk Fören,Personlig assistent,"Personlig assistent på 50% till 4,5 årig flicka i Järna, Södertälje ",Kooperativet Hand i Hand ekonomisk förening
24445058,Dagtidstjänst på 85% som personlig assistent,Personlig assistent Västernorrland Jämtland,Kooperativet Hand i Hand Ekonomisk Fören,Personlig assistent,Dagtidstjänst på 85% som personlig assistent,Kooperativet Hand i Hand ekonomisk förening
24417903,Personliga Assistenter,Personlig assistent Västernorrland Jämtland,Inre Kraft i Norr AB,Personlig assistent,Personliga Assistenter,Inre Kraft i Norr AB
24413053,"Personlig assistent med nära till skratt, timanställning (Re56)",Personlig assistent Västernorrland Jämtland,Kooperativet Hand i Hand Ekonomisk Fören,Personlig assistent,"Personlig assistent med nära till skratt, timanställning (Re56)",Kooperativet Hand i Hand ekonomisk förening
24398342,Glädje och trygghet i vardagen. Tjänster som timvikarie och arbetsledare (R,Personlig assistent Västernorrland Jämtland,Kooperativet Hand i Hand Ekonomisk Fören,Personlig assistent,Glädje och trygghet i vardagen. Tjänster som timvikarie och arbetsledare (R,Kooperativet Hand i Hand ekonomisk förening
24452016,Personlig assistent till man i 20-års åldern (RE18),Personlig assistent Västernorrland Jämtland,Kooperativet Hand i Hand Ekonomisk Fören,Personlig assistent,Personlig assistent till man i 20-års åldern (RE18),Kooperativet Hand i Hand ekonomisk förening
24448873,"Elevassistent till Gymnasiesärskolans individuella program, IAIND Västermal",Personlig assistent Västernorrland Jämtland,Sundsvalls kommun,Elevassistent,"Elevassistent till Gymnasiesärskolans individuella program, IAIND Västermal","Sundsvalls kommun, Barn- och utbildningsförvaltningen"
24446052,PwC söker revisionsassistent!,Personlig assistent Västernorrland Jämtland,Adecco Sweden AB,Revisionsbiträde,PwC söker revisionsassistent!,Adecco Sweden AB
24412970,HSE assistent,Personlig assistent Västernorrland Jämtland,Poolia Sverige AB,Arbetsmiljöingenjör,HSE assistent,Poolia Umeå AB
