ID,Job_ID,Titel,Yrke,Beskrivning,Ort,Arbetsgivare
rec1lvG0BkRabG337,24435509,"Överläkare/ST-läkare inom Vårdhygien, Region JH",Specialistläkare,"Överläkare/ST-läkare inom Vårdhygien, Region JH",Område Patientsäkerhet,REGION JÄMTLAND HÄRJEDALEN
rec1nOQnSYBfixiVh,24327554,Vi välkomnar vikarier till ambulanssjukvården sommaren 2021!,"Sjuksköterska, grundutbildad",Vi välkomnar vikarier till ambulanssjukvården sommaren 2021!,Område Akutvård,REGION JÄMTLAND HÄRJEDALEN
rec1r7FcPCTQgAtzC,24433549,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Kundtjänstmedarbetare,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Webhelp Sweden AB,Webhelp Sweden AB
rec1rcm0xiKAhs8TT,24440586,Säljare på distans #jobbjustnu,Telefonförsäljare,Säljare på distans #jobbjustnu,KS,Eco Skydd Sverige AB
rec1sW6tUR0m14OyV,24437524,Sjuksköterska till Kirurgisk vårdavdelning,"Sjuksköterska, grundutbildad",Sjuksköterska till Kirurgisk vårdavdelning,Magnifiq Kompetens,Palmelind Konsult AB
rec1sym7ozjrvozyc,24445652,"Säljare Region Nord – Västerbotten, Västernorrland och Jämtland",Account manager,"Säljare Region Nord – Västerbotten, Västernorrland och Jämtland",Ramudden AB,Ramudden AB
rec1vHAwE7xk8LoYi,24438099,"Sjuksköterska till Akutmottagningen, Sollefteå","Sjuksköterska, grundutbildad","Sjuksköterska till Akutmottagningen, Sollefteå",Region Västernorrland,REGION VÄSTERNORRLAND
rec1x7fHH1Q6DMvdq,24438293,Sjuksköterskestudent? Sök vår- och sommarjobb som undersköterska!,"Undersköterska, vård- o specialavd. o mottagning",Sjuksköterskestudent? Sök vår- och sommarjobb som undersköterska!,"Välfärdsförvaltningen, Avdelningen för Hälso och sjukvård",Örnsköldsviks kommun
rec21WuF6XHOgoI4G,24443327,Sjuksköterska välkomnas till neonatalavdelningen sommaren 2021!,"Sjuksköterska, grundutbildad",Sjuksköterska välkomnas till neonatalavdelningen sommaren 2021!,Region Jämtland Härjedalen,REGION JÄMTLAND HÄRJEDALEN
rec27KbFkjYyj97BM,24412304,"Undersköterska, sommarvikariat, BB/Förlossning avd 12, Sundsvall","Undersköterska, vård- o specialavd. o mottagning","Undersköterska, sommarvikariat, BB/Förlossning avd 12, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
rec2Gyv01JylRNrLF,24398121,"Sjuksköterskor till Kirurgavdelning 15A, Sundsvall","Sjuksköterska, grundutbildad","Sjuksköterskor till Kirurgavdelning 15A, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
rec2JsawF3d0toYDF,24426579,"Sjuksköterska/barnsjuksköterska/IVA-sjuksköterska till SSIH barn, Sundsvall","Sjuksköterska, grundutbildad","Sjuksköterska/barnsjuksköterska/IVA-sjuksköterska till SSIH barn, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
rec2MMiTfosKPDxIm,24427422,Sveriges bästa undersköterska,"Undersköterska, hemtjänst och äldreboende",Sveriges bästa undersköterska,Magnifiq Kompetens,Palmelind Konsult AB
rec2YEbzHXazWdruW,24397178,Säljare till Timrå,Utesäljare,Säljare till Timrå,Verisure Sales Sverige AB,Verisure Sverige AB
rec2lqwZ8HIfTBMiB,24449136,Säljande kundtjänstmedarbetare till Bonnier!,Kundtjänstmedarbetare,Säljande kundtjänstmedarbetare till Bonnier!,Webhelp Sweden,Webhelp Sweden AB
rec2wFaFMhFUBH2nc,24401906,Säljare med förbokade kunder i Landskrona. Fast lön plus provision,Hemförsäljare,Säljare med förbokade kunder i Landskrona. Fast lön plus provision,Wet World Energy Solutions AB,Wet World Energy Solutions AB
rec2xkDGmFLY7A3vY,24414508,MSB Sandö söker lärare,Brandbefäl/Räddningsledare/Insatsledare,MSB Sandö söker lärare,Myndigheten för samhällsskydd och beredskap,Myndigheten För Samhällsskydd och Beredskap (Msb
rec33YmHeSn6qkk3M,24436819,Socionom/Beteendevetare till Socialtjänstens öppenvårdsteam,Socionom,Socionom/Beteendevetare till Socialtjänstens öppenvårdsteam,"Bräcke kommun, Sociala avdelningen",Bräcke kommun
rec37Wqih36k5ZKqg,24422509,AnnSam söker Sjuksköterskor! Välbetalda uppdrag i Gävle och Hudiksvall!,"Sjuksköterska, grundutbildad",AnnSam söker Sjuksköterskor! Välbetalda uppdrag i Gävle och Hudiksvall!,AnnSam - Sundsvall,Annsam AB
rec39jH3HEVNkB4aR,24415825,Tävlingsmänniska? Abonnenta söker taggade Eventsäljare!,Eventsäljare/Eventförsäljare,Tävlingsmänniska? Abonnenta söker taggade Eventsäljare!,Abonnenta AB,A 95 Consulting AB
rec3SaE1NlgwZcSGQ,24419082,Personlig assistent sökes till kille i Östersund!,Personlig assistent,Personlig assistent sökes till kille i Östersund!,Humana AB,Humana AB
rec3TKX9F5BtgJeK1,24429604,Dedicare söker undersköterskor till Västernorrland,"Undersköterska, hemtjänst och äldreboende",Dedicare söker undersköterskor till Västernorrland,Dedicare AB,Dedicare AB (publ)
rec3TdJNUYWPfNMqj,24440675,Säljare på distans #jobbjustnu,Telefonförsäljare,Säljare på distans #jobbjustnu,KS,Eco Skydd Sverige AB
rec3bgbAfwYQvRJqS,24414952,Klara söker sjuksköterskor till vårdavdelning i Sundsvall,"Sjuksköterska, grundutbildad",Klara söker sjuksköterskor till vårdavdelning i Sundsvall,Klara D AB,Klara D AB
rec3jLcQagH8y1wdp,24414764,Möjliggörande assistent till kvinna med Retts syndrom sökes på fast sche...,Personlig assistent,Möjliggörande assistent till kvinna med Retts syndrom sökes på fast sche...,Lystra personlig assistans,Lystra Personlig Assistans AB
rec3smFM52Hj4u5Ti,24450560,Socionom/Kurator till Område Psykiatri Öppenvård,Kurator,Socionom/Kurator till Område Psykiatri Öppenvård,"Region Jämtland Härjedalen, Område Psykiatri",REGION JÄMTLAND HÄRJEDALEN
rec3trNfSMwhgFPB1,24423834,Sjuksköterska till kirurgavdelning i Sundsvall,"Sjuksköterska, grundutbildad",Sjuksköterska till kirurgavdelning i Sundsvall,Ofelia Vård AB,Ofelia Vård AB
rec3umwyOEPn7CPFk,24428223,PERSONLIGA ASSISTENTER TILL UNG MAN MED AUTISM,Personlig assistent,PERSONLIGA ASSISTENTER TILL UNG MAN MED AUTISM,Jengla Omsorg AB,Jengla Omsorg AB
rec3wn9KYvK9B3Mdz,24429304,Erfaren .NET-utvecklare som motiveras av lagarbete,Systemutvecklare/Programmerare,Erfaren .NET-utvecklare som motiveras av lagarbete,Sopra Steria,Sopra Steria Sweden AB
rec46kQCVSECbMpj4,24441510,System developer to inhouse team in Örnsköldsvik,Systemutvecklare/Programmerare,System developer to inhouse team in Örnsköldsvik,Knightec,Knightec AB
rec4E94sncTvHCsko,24391099,Bemanningsundersköterska i Sundsvall,"Undersköterska, hemtjänst och äldreboende",Bemanningsundersköterska i Sundsvall,PersonalExpressen,PersonalExpressen AB
rec4IxtGuNeUN8U1j,24427591,Distriktsläkare till Lugnviks välbemannade hälsocentral,Specialistläkare,Distriktsläkare till Lugnviks välbemannade hälsocentral,"Region Jämtland Härjedalen, VO Östersund ",REGION JÄMTLAND HÄRJEDALEN
rec4XvCL903vxRs61,24435796,Undersköterska till Kirurgisk akutvårdsavdelning i Sundsvall,"Undersköterska, vård- o specialavd. o mottagning",Undersköterska till Kirurgisk akutvårdsavdelning i Sundsvall,Region Västernorrland,REGION VÄSTERNORRLAND
rec4gJlbINvLPcvgE,24446651,Systemförvaltare,Systemförvaltare,Systemförvaltare,Region Västernorrland,REGION VÄSTERNORRLAND
rec4uvIJ3dn0lTlLE,24424028,"Personlig Assistent, (Bjästa)",Personlig assistent,"Personlig Assistent, (Bjästa)",ENKV,Enkv Assistans AB
rec58EwhLgkSkvtN8,24428655,Sjuksköterska till Infektionsavdelningen,"Sjuksköterska, grundutbildad",Sjuksköterska till Infektionsavdelningen,"Region Jämtland Härjedalen, Infektion",REGION JÄMTLAND HÄRJEDALEN
rec5M4Bd5t97kS9bQ,24430306,Sjuksköterska till kommande vaccinationsuppdrag,"Sjuksköterska, grundutbildad",Sjuksköterska till kommande vaccinationsuppdrag,Dedicare AB (publ),Dedicare AB (publ)
rec5Nb6GV6zHlL6Qu,24440125,Sommarjobb inom Folktandvården Västernorrland,Tandsköterska,Sommarjobb inom Folktandvården Västernorrland,Region Västernorrland,REGION VÄSTERNORRLAND
rec5TZnPfFU2omZsO,24397262,Sjuksköterskor,"Undersköterska, hemtjänst och äldreboende",Sjuksköterskor,Sundsvalls kommun,Sveda & Värk
rec5oGWljyPqfyrsV,24450237,Administratör / Support / 2nd line support,Kundtjänstmedarbetare,Administratör / Support / 2nd line support,Bravura,Bravura Sverige AB
rec5qOkECrDzPWaZW,24420299,Akutmottagningen på Östersunds sjukhus söker biträdande enhetschef,"Enhetschef, hälso- och sjukvård",Akutmottagningen på Östersunds sjukhus söker biträdande enhetschef,Område Akutvård,REGION JÄMTLAND HÄRJEDALEN
rec5sEzHlSV3GSZ9G,24434725,Sjuksköterska sökes till  akutmotttagning Sundsvalls sjuhus,"Sjuksköterska, grundutbildad",Sjuksköterska sökes till  akutmotttagning Sundsvalls sjuhus,Prime Care AB,Prime Care & Professional AB
rec60XXS6mUg6mJxy,24442702,Vi söker undersköterskor till Östersunds Hälsocentraler,"Undersköterska, vård- o specialavd. o mottagning",Vi söker undersköterskor till Östersunds Hälsocentraler,"Region Jämtland Härjedalen, VO Östersund ",REGION JÄMTLAND HÄRJEDALEN
rec67ZTwwvVUbAqjd,24437683,Vi välkomnar sjuksköterskor till akutmottagningen!,"Sjuksköterska, grundutbildad",Vi välkomnar sjuksköterskor till akutmottagningen!,Område Akutvård,REGION JÄMTLAND HÄRJEDALEN
rec6FDHmY3Ke4v9tB,24435819,Almia söker sjuksköterska till strokeavdelningen i Östersund under vintern,"Sjuksköterska, grundutbildad",Almia söker sjuksköterska till strokeavdelningen i Östersund under vintern,Almia Bemanning,Almia AB
rec6L0kgKeMsvvcpc,24395401,Frösö Hälsocentral söker distriktsläkare med intresse för Nära Vård,Specialistläkare,Frösö Hälsocentral söker distriktsläkare med intresse för Nära Vård,"Region Jämtland Härjedalen, VO Östersund ",REGION JÄMTLAND HÄRJEDALEN
rec6NrC8tD5V0RSn6,24438881,Vikarier sökes! Vi söker personlig assistent till 7-årig tjej. 2064,Personlig assistent,Vikarier sökes! Vi söker personlig assistent till 7-årig tjej. 2064,STORSJÖBYGDENS PERSONLIGA ASSISTANS AB,Storsjöbygdens Personliga Assistans AB
rec6VeMEsH7SwZctc,24387312,Lokalvårdare,Städare/Lokalvårdare,Lokalvårdare,Veterankraft AB,Veterankraft AB
rec6XTVfP9YTNKTxJ,24438118,"Sjuksköterska till Akutmottagningen, Sollefteå","Sjuksköterska, grundutbildad","Sjuksköterska till Akutmottagningen, Sollefteå",Region Västernorrland,REGION VÄSTERNORRLAND
rec6eujHKYRZ9kZiL,24342958,Systemutvecklare till våra agila team,Systemutvecklare/Programmerare,Systemutvecklare till våra agila team,"Skatteverket, IT/STÖD, It-avdelningen",Skatteverket
rec6hvV0URLTdmkAO,24401912,Säljare med förbokade kunder i Hörby. Fast lön plus provision,Hemförsäljare,Säljare med förbokade kunder i Hörby. Fast lön plus provision,Wet World Energy Solutions AB,Wet World Energy Solutions AB
rec6kNwLa8c4kyDgW,24439141,Vill du göra skillnad och hjälpa 1000-tals företag på Internet?,Kundtjänstmedarbetare,Vill du göra skillnad och hjälpa 1000-tals företag på Internet?,Webbkonsulterna i Jämtland AB,Webbkonsulterna i Jämtland AB
rec6lHne4aiLXpOZf,24442878,Leg. Läkare sökes till bemanningsuppdrag,Läkare,Leg. Läkare sökes till bemanningsuppdrag,Viva Bemanning - Örnsköldsvik,Viva Bemanning AB
rec6nyGxk2dJnLrY0,24437830,"Överläkare inom Reumatologi till Läkarenheten Medicin, Sollefteå",Specialistläkare,"Överläkare inom Reumatologi till Läkarenheten Medicin, Sollefteå",Region Västernorrland,REGION VÄSTERNORRLAND
rec6qsfFa7HZM2l5O,24282979,Ambulanssjukvården Västernorrland söker sjuksköterskor till vikariat,Ambulanssjuksköterska,Ambulanssjukvården Västernorrland söker sjuksköterskor till vikariat,Region Västernorrland,REGION VÄSTERNORRLAND
rec6yPCKACDg6JGmi,24401801,Säljare med förbokade kunder i Alingsås. Fast lön plus provision,Hemförsäljare,Säljare med förbokade kunder i Alingsås. Fast lön plus provision,Wet World Energy Solutions AB,Wet World Energy Solutions AB
rec6ygpWon9WIVIKB,24435636,Sjuksköterska sökes förr kommunuppdrag,"Sjuksköterska, grundutbildad",Sjuksköterska sökes förr kommunuppdrag,Dedicare AB (publ),Dedicare AB (publ)
rec7CGzsD3wbVGjAd,24427416,Sveriges bästa undersköterska,"Undersköterska, hemtjänst och äldreboende",Sveriges bästa undersköterska,Magnifiq Kompetens,Palmelind Konsult AB
rec7PoA3IF982KSL9,24406761,Du som vill göra skillnad ! Jobb som personlig assistent.,Personlig assistent,Du som vill göra skillnad ! Jobb som personlig assistent.,Helsa Omsorg & Bemanning i Norden AB,Helsa Omsorg & Bemanning i Norden AB
rec7RRUrBMKWM7yO0,24383477,Erfaren kock till nya italienaren Basta på Stora Torget i Sundsvall,"Kock, à la carte",Erfaren kock till nya italienaren Basta på Stora Torget i Sundsvall,Basta,Restaurang Basta Falun AB
rec7fTX7QRxBKGNdx,24439951,"Försäljare med ledningsgruppsansvar till Östersund, Lillänge","Butikssäljare, fackhandel","Försäljare med ledningsgruppsansvar till Östersund, Lillänge",Systembolaget AB,Systembolaget AB
rec7hvndQBgmj2KqA,24417970,Snickare till Klingsta Hus & Modul AB,Träarbetare/Snickare,Snickare till Klingsta Hus & Modul AB,Adecco Sweden AB,Adecco Sweden AB
rec7wscjQXdGlJUfD,24443563,BUP välkomnar en socionom med psykoterapiutbildning till mottagning,Socionom,BUP välkomnar en socionom med psykoterapiutbildning till mottagning,"Region Jämtland Härjedalen, Område Barn och unga vuxna",REGION JÄMTLAND HÄRJEDALEN
rec7zAHWAQGJ2vdlL,24430468,Utvecklare till Softronic ,Mjukvaruutvecklare,Utvecklare till Softronic ,Professionals Nord Rekrytering AB,Professionals Nord Rekrytering AB
rec828SuiQMpuZOKw,24432676,Specialistläkare till smärtenheten i Östersund,Specialistläkare,Specialistläkare till smärtenheten i Östersund,"Region Jämtland Härjedalen, Område Hjärta, neurologi och rehabilitering",REGION JÄMTLAND HÄRJEDALEN
rec8Du1C9crpHXKsM,24441954,Kundtjänstmedarbetare på Kreta,Kundtjänstmedarbetare,Kundtjänstmedarbetare på Kreta,Otiga Stockholm AB,Otiga Stockholm AB
rec8OGU2IFDVhUmtP,24447810,Östersundshem söker en Byggprojektledare med inriktning installationsteknik,"Drift- och underhållsingenjör, anläggning",Östersundshem söker en Byggprojektledare med inriktning installationsteknik,Östersundshem,OnePartnerGroup Jämtland AB
rec8OsxBoooUw54sw,24438447,"Skötare sommarvikariat Rättspsykiatriska Regionkliniken, Sundsvall",Skötare,"Skötare sommarvikariat Rättspsykiatriska Regionkliniken, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
rec8RXGN9Bf4fh1XJ,24443051,Vik undersköterska välkomnas till intensivvårdsavdelningen!,"Undersköterska, vård- o specialavd. o mottagning",Vik undersköterska välkomnas till intensivvårdsavdelningen!,Område Akutvård,REGION JÄMTLAND HÄRJEDALEN
rec8jWnMQTfsZwGJb,24402406,Personlig assistent till en omtänksam tjej bosatt i Bredbyn,Personlig assistent,Personlig assistent till en omtänksam tjej bosatt i Bredbyn,Kura Omsorg,Kura Omsorg i Sverige AB
rec8xbY4LsxkQdefe,24401850,Säljare med förbokade kunder i Trelleborg. Fast lön plus provision,Hemförsäljare,Säljare med förbokade kunder i Trelleborg. Fast lön plus provision,Wet World Energy Solutions AB,Wet World Energy Solutions AB
rec912whUoOEW6Ndc,24446157,En individual- och en familjebehandlare till IKB teamet vid BUP,Familjebehandlare,En individual- och en familjebehandlare till IKB teamet vid BUP,"Region Jämtland Härjedalen, Område Barn och unga vuxna",REGION JÄMTLAND HÄRJEDALEN
rec92LXaH2PspYeAT,24438118,"Sjuksköterska till Akutmottagningen, Sollefteå","Sjuksköterska, grundutbildad","Sjuksköterska till Akutmottagningen, Sollefteå",Region Västernorrland,REGION VÄSTERNORRLAND
rec9M7eJaO2r5zKVc,24440451,Vi söker två undersköterskor till Funäsdalens & Svegs Hälsocentraler,"Undersköterska, vård- o specialavd. o mottagning",Vi söker två undersköterskor till Funäsdalens & Svegs Hälsocentraler,"Region Jämtland Härjedalen, VO Härjedalen",REGION JÄMTLAND HÄRJEDALEN
rec9UxumArhONbEvN,24437859,"Sjuksköterska sökes till strokeavdelning, Östersund","Sjuksköterska, grundutbildad","Sjuksköterska sökes till strokeavdelning, Östersund",Ofelia Vård AB,Ofelia Vård AB
rec9XO92I0LoH75s1,24415867,"Undersköterska för sommarvikariat till Akutmottagningen, Sundsvall","Undersköterska, vård- o specialavd. o mottagning","Undersköterska för sommarvikariat till Akutmottagningen, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
rec9ZXKxAIUsuH2vG,24401761,Säljare med förbokade kunder i Östersund. Fast lön plus provision,Hemförsäljare,Säljare med förbokade kunder i Östersund. Fast lön plus provision,Wet World Energy Solutions AB,Wet World Energy Solutions AB
rec9gznQk2D0YZAel,24437317,Lärare åk 4-6 Mariedalsskolan,"Lärare i grundskolan, årskurs 4-6",Lärare åk 4-6 Mariedalsskolan,"Barn och utbildning, Mariedals skola",Timrå kommun
rec9hZnyj2mRE74xK,24403365,Objektsspecialist O365 till samordningskansliet i Östersund,IT-strateg,Objektsspecialist O365 till samordningskansliet i Östersund,"Region Jämtland Härjedalen, Regionstaben",REGION JÄMTLAND HÄRJEDALEN
rec9hzw9mAJehG2H1,24447305,Driven säljare till Bonnier News Local i Sundsvall,Telefonförsäljare,Driven säljare till Bonnier News Local i Sundsvall,Amendo ,Amendo Bemanning & Rekrytering AB
rec9iUZRfYROX0KxR,24404951,Norrland behöver leg.sjuksköterskor i vinter/vår,"Sjuksköterska, grundutbildad",Norrland behöver leg.sjuksköterskor i vinter/vår,Dedicare AB (publ),Dedicare AB (publ)
rec9jEbZ0qYihZizE,24441845,Dansktalande Teknisk Support/Kundservice,Kundtjänstmedarbetare,Dansktalande Teknisk Support/Kundservice,H1 Communication AB,H1 Communication AB
rec9lerMzIMwhFAvw,24433558,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Kundtjänstmedarbetare,Nya kollegor till Com Hem/Boxers säljande kundtjänst i Östersund,Webhelp Sweden AB,Webhelp Sweden AB
rec9oGDnWIGvaVmYt,24443179,Vill du jobba som undersköterska på IVA sommaren 2021? ,"Undersköterska, vård- o specialavd. o mottagning",Vill du jobba som undersköterska på IVA sommaren 2021? ,Område Akutvård,REGION JÄMTLAND HÄRJEDALEN
rec9phLEUtqlVSSZR,24421890,Sjuksköterskor till strokeavdelning v.02-11,"Sjuksköterska, grundutbildad",Sjuksköterskor till strokeavdelning v.02-11,Magnifiq Kompetens,Palmelind Konsult AB
recA8TtPQ6Evdddvu,24373575,Studierektor för AT-läkare Primärvård Sundsvall-Härnösand,Läkare,Studierektor för AT-läkare Primärvård Sundsvall-Härnösand,Region Västernorrland,REGION VÄSTERNORRLAND
recA9NjzgJWKvqJHe,24401964,Säljare med förbokade kunder i Kungsbacka. Fast lön plus provision,Hemförsäljare,Säljare med förbokade kunder i Kungsbacka. Fast lön plus provision,Wet World Energy Solutions AB,Wet World Energy Solutions AB
recAHRHEWceQmIj4K,24445798,"Personlig assistent på 50% till 4,5 årig flicka i Järna, Södertälje ",Personlig assistent,"Personlig assistent på 50% till 4,5 årig flicka i Järna, Södertälje ",Kooperativet Hand i Hand ekonomisk förening,Kooperativet Hand i Hand Ekonomisk Fören
recAQDwxiWiC3ARBC,24439136,Sveriges Bästa Läkare Sökes,Läkare,Sveriges Bästa Läkare Sökes,Magnifiq Kompetens,Palmelind Konsult AB
recAXJDK2TXwGD9yF,24422193,"Barnsjuksköterska/Sjuksköterska till Barnmottagningen, Sundsvall","Sjuksköterska, grundutbildad","Barnsjuksköterska/Sjuksköterska till Barnmottagningen, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
recAZP6lk8Vq5RY7A,24443051,Vik undersköterska välkomnas till intensivvårdsavdelningen!,"Undersköterska, vård- o specialavd. o mottagning",Vik undersköterska välkomnas till intensivvårdsavdelningen!,Område Akutvård,REGION JÄMTLAND HÄRJEDALEN
recAccLkwHcPRBWyt,24448724,Leg. Läkare sökes till bemanningsuppdrag,Läkare,Leg. Läkare sökes till bemanningsuppdrag,Viva Bemanning - Matfors,Viva Bemanning AB
recAju2dpUIdkwvAt,24401702,Undersköterska till Svegs hälsocentral  ,"Undersköterska, vård- o specialavd. o mottagning",Undersköterska till Svegs hälsocentral  ,Region Jämtland Härjedalen,REGION JÄMTLAND HÄRJEDALEN
recAw8tVShhc5sPvL,24402011,Säljare med förbokade kunder i Markaryd. Fast lön plus provision,Hemförsäljare,Säljare med förbokade kunder i Markaryd. Fast lön plus provision,Wet World Energy Solutions AB,Wet World Energy Solutions AB
recAwVrMGM0qtcQrw,24316837,Sköterskor sökes till Strömsund för antikroppstestning av Covid-19,"Undersköterska, hemtjänst och äldreboende",Sköterskor sökes till Strömsund för antikroppstestning av Covid-19,Vaccina,Vaccina AB
recAwv1PHuTlYxF83,24448663,Leg. Läkare sökes till bemanningsuppdrag,Läkare,Leg. Läkare sökes till bemanningsuppdrag,Viva Bemanning - Sollefteå,Viva Bemanning AB
recAymU1ZRiSpEVVb,24437233,Senior Software Engineer with focus on Optimization and AI,Systemutvecklare/Programmerare,Senior Software Engineer with focus on Optimization and AI,Lifesize Östersund,Loxysoft WFM AB
recB7Swu8RV4wzPcD,24449069,Leg. Läkare sökes till bemanningsuppdrag,Läkare,Leg. Läkare sökes till bemanningsuppdrag,Viva Bemanning - Kramfors,Viva Bemanning AB
recBOd0w4cXExH3mb,24437623,"Undersköterska, sommarvikariat, Specialistvårdsmottagning, Sollefteå","Undersköterska, vård- o specialavd. o mottagning","Undersköterska, sommarvikariat, Specialistvårdsmottagning, Sollefteå",Region Västernorrland,REGION VÄSTERNORRLAND
recBXLFPc853ClQ2T,24430066,Vattenfall Services rekryterar i Västernorrland och Jämtland!,"Linjemontör, elkraft",Vattenfall Services rekryterar i Västernorrland och Jämtland!,Sollefteå ,Vattenfall AB
recBeR8AYFJMCBPQM,24408652,Kundtjänstmedarbetare,Kundtjänstmedarbetare,Kundtjänstmedarbetare,Energihem i Sverige AB,Energihem i Sverige AB
recBh2quhd8MqGL6j,24438447,"Skötare sommarvikariat Rättspsykiatriska Regionkliniken, Sundsvall",Skötare,"Skötare sommarvikariat Rättspsykiatriska Regionkliniken, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
